id_venta,fecha,ciudad,region,canal,categoria,producto,segmento_cliente,metodo_pago,precio_unitario,cantidad,descuento,ingreso,costo,utilidad,satisfaccion,dias_envio,devuelto
V110430,2023-01-07,Piura,Norte,Tienda fisica,Moda,Jean Slim,Recurrente,Tarjeta credito,26.93,4,0.071,100.07,59.25,40.82,3.5,0,False
V105155,2023-01-07,Arequipa,Sur,Tienda fisica,Moda,Casaca Denim,Recurrente,Billetera digital,45.07,2,0.058,84.91,49.58,35.33,4.0,0,False
V102584,2023-01-07,Lima,Costa,App movil,Deportes,Mancuernas 10kg,Recurrente,Tarjeta debito,176.27,3,0.09,481.22,370.17,111.05,3.5,8,False
V109341,2023-01-07,Lima,Costa,Tienda fisica,Tecnologia,Smartphone X,VIP,Billetera digital,159.62,4,0.15,542.71,523.55,19.16,4.0,0,False
V105177,2023-01-07,Trujillo,Norte,Tienda fisica,Hogar,Organizador Modular,Nuevo,Efectivo,147.95,1,0.0,147.95,99.13,48.82,4.0,0,False
V103605,2023-01-07,Lima,Costa,App movil,Moda,Casaca Denim,VIP,Tarjeta credito,23.18,3,0.094,63.0,38.25,24.75,3.0,3,False
V107765,2023-01-07,Chiclayo,Norte,Web,Deportes,Balon Pro,Nuevo,Tarjeta credito,93.69,3,0.0,281.07,196.75,84.32,4.0,4,False
V100810,2023-01-07,Huancayo,Centro,Web,Hogar,Set de Ollas,VIP,Tarjeta credito,82.72,4,0.153,280.26,221.69,58.57,5.0,6,False
V111609,2023-01-07,Piura,Norte,Tienda fisica,Hogar,Juego de Sabanas,Recurrente,Tarjeta debito,82.73,2,0.037,159.34,110.86,48.48,5.0,0,False
V111507,2023-01-07,Arequipa,Sur,Web,Electrodomesticos,Refrigeradora 400L,Recurrente,Efectivo,441.45,1,0.068,411.43,344.33,67.1,5.0,4,False
V106158,2023-01-07,Trujillo,Norte,Marketplace,Belleza,Serum Facial,Nuevo,Tarjeta debito,104.19,2,0.045,199.0,104.19,94.81,4.0,5,False
V108714,2023-01-07,Piura,Norte,Web,Hogar,Set de Ollas,Recurrente,Tarjeta debito,131.09,4,0.013,517.54,351.32,166.22,4.0,6,False
V101616,2023-01-07,Lima,Costa,Tienda fisica,Tecnologia,Smartphone X,Nuevo,Tarjeta debito,177.86,3,0.0,533.58,437.54,96.04,5.0,0,False
V103037,2023-01-08,Lima,Costa,App movil,Tecnologia,Audifonos ANC,Recurrente,Tarjeta credito,425.53,1,0.016,418.72,348.93,69.79,3.0,8,False
V101313,2023-01-08,Lima,Costa,Web,Hogar,Set de Ollas,Recurrente,Billetera digital,221.76,1,0.016,218.21,148.58,69.63,3.0,4,False
V104772,2023-01-08,Huancayo,Centro,Tienda fisica,Belleza,Secadora de Cabello,Recurrente,Tarjeta credito,67.31,5,0.034,325.11,168.28,156.83,4.5,0,False
V107928,2023-01-08,Lima,Costa,Web,Hogar,Organizador Modular,Nuevo,Tarjeta credito,150.93,4,0.117,533.08,404.49,128.59,3.5,2,False
V100646,2023-01-08,Lima,Costa,Tienda fisica,Tecnologia,Laptop Pro 14,Recurrente,Efectivo,299.91,5,0.0,1499.55,1229.63,269.92,4.5,0,False
V109950,2023-01-08,Lima,Costa,Tienda fisica,Tecnologia,"Monitor 27""",Recurrente,Efectivo,352.41,1,0.012,348.18,288.98,59.2,5.0,0,False
V105227,2023-01-08,Lima,Costa,App movil,Moda,Vestido Casual,Nuevo,Efectivo,121.26,5,0.006,602.66,333.47,269.19,5.0,4,False
V103178,2023-01-08,Piura,Norte,Web,Moda,Zapatillas Urbanas,VIP,Tarjeta credito,135.15,3,0.052,384.37,223.0,161.37,4.5,1,False
V102298,2023-01-08,Lima,Costa,App movil,Tecnologia,Audifonos ANC,Nuevo,Tarjeta debito,537.58,1,0.0,537.58,440.82,96.76,4.0,6,False
V100774,2023-01-08,Cusco,Sur,Tienda fisica,Moda,Casaca Denim,Nuevo,Tarjeta credito,24.39,4,0.036,94.05,53.66,40.39,4.5,0,False
V111674,2023-01-09,Huancayo,Centro,Tienda fisica,Moda,Zapatillas Urbanas,Nuevo,Tarjeta credito,99.28,2,0.0,198.56,109.21,89.35,4.5,0,False
V101322,2023-01-09,Chiclayo,Norte,Web,Hogar,Lampara LED,Recurrente,Efectivo,139.91,1,0.0,139.91,93.74,46.17,3.5,1,False
V100422,2023-01-09,Arequipa,Sur,Tienda fisica,Moda,Jean Slim,VIP,Efectivo,91.17,5,0.134,394.77,250.72,144.05,3.5,0,True
V107012,2023-01-09,Lima,Costa,Web,Moda,Casaca Denim,Nuevo,Tarjeta credito,64.05,5,0.046,305.52,176.14,129.38,3.0,2,False
V108632,2023-01-09,Lima,Costa,Web,Electrodomesticos,Aspiradora Robot,Nuevo,Billetera digital,522.81,1,0.0,522.81,407.79,115.02,4.5,3,False
V106127,2023-01-09,Huancayo,Centro,App movil,Electrodomesticos,Aspiradora Robot,Nuevo,Tarjeta debito,612.78,1,0.0,612.78,477.97,134.81,4.0,3,False
V109685,2023-01-09,Chiclayo,Norte,Tienda fisica,Belleza,Serum Facial,VIP,Billetera digital,68.84,1,0.054,65.12,34.42,30.7,4.0,0,False
V106041,2023-01-09,Chiclayo,Norte,Tienda fisica,Belleza,Kit Skincare,Recurrente,Tarjeta debito,49.02,2,0.136,84.71,49.02,35.69,5.0,0,False
V111459,2023-01-09,Cusco,Sur,App movil,Belleza,Secadora de Cabello,Recurrente,Tarjeta credito,63.35,4,0.0,253.4,126.7,126.7,2.0,6,False
V106988,2023-01-09,Arequipa,Sur,Web,Moda,Jean Slim,VIP,Tarjeta credito,60.35,4,0.24,183.46,132.77,50.69,3.5,5,False
V109817,2023-01-09,Trujillo,Norte,Web,Deportes,Mancuernas 10kg,Nuevo,Billetera digital,110.73,3,0.018,326.21,232.53,93.68,3.5,2,False
V104774,2023-01-10,Arequipa,Sur,Tienda fisica,Moda,Vestido Casual,Recurrente,Efectivo,97.63,1,0.061,91.67,53.7,37.97,5.0,0,False
V107175,2023-01-10,Arequipa,Sur,Tienda fisica,Electrodomesticos,Microondas 30L,Recurrente,Tarjeta debito,330.31,5,0.012,1631.73,1288.21,343.52,4.0,0,False
V108499,2023-01-10,Huancayo,Centro,Web,Electrodomesticos,Microondas 30L,Nuevo,Tarjeta credito,593.92,1,0.0,593.92,463.26,130.66,4.0,1,False
V105450,2023-01-10,Iquitos,Oriente,Tienda fisica,Electrodomesticos,Lavadora 12kg,Recurrente,Billetera digital,112.22,2,0.054,212.32,175.06,37.26,5.0,0,True
V105423,2023-01-10,Cusco,Sur,App movil,Tecnologia,"Monitor 27""",Recurrente,Tarjeta debito,278.62,5,0.021,1363.84,1142.34,221.5,4.5,5,False
V107202,2023-01-10,Iquitos,Oriente,Tienda fisica,Electrodomesticos,Refrigeradora 400L,Nuevo,Billetera digital,571.24,1,0.056,539.25,445.57,93.68,3.0,0,False
V103462,2023-01-11,Lima,Costa,Tienda fisica,Hogar,Juego de Sabanas,Recurrente,Tarjeta credito,110.46,1,0.0,110.46,74.01,36.45,4.0,0,False
V109214,2023-01-11,Arequipa,Sur,Marketplace,Hogar,Organizador Modular,Recurrente,Billetera digital,85.78,2,0.07,159.55,114.95,44.6,5.0,1,True
V104155,2023-01-11,Huancayo,Centro,Web,Deportes,Colchoneta Yoga,Nuevo,Billetera digital,101.71,2,0.055,192.23,142.39,49.84,2.5,3,False
V103438,2023-01-12,Trujillo,Norte,Tienda fisica,Belleza,Serum Facial,Recurrente,Billetera digital,101.75,2,0.093,184.57,101.75,82.82,4.0,0,False
V108922,2023-01-12,Piura,Norte,Web,Moda,Polo Basico,Recurrente,Tarjeta credito,145.05,3,0.07,404.69,239.33,165.36,4.0,6,False
V104280,2023-01-12,Arequipa,Sur,Tienda fisica,Belleza,Serum Facial,VIP,Tarjeta debito,56.87,4,0.058,214.29,113.74,100.55,4.5,0,False
V100594,2023-01-12,Cusco,Sur,App movil,Hogar,Organizador Modular,Recurrente,Tarjeta debito,90.27,4,0.089,328.94,241.92,87.02,4.5,4,False
V104990,2023-01-12,Arequipa,Sur,Web,Moda,Polo Basico,Nuevo,Efectivo,52.7,3,0.119,139.29,86.96,52.33,4.5,7,False
V107121,2023-01-12,Tacna,Sur,Web,Tecnologia,Smartphone X,Recurrente,Tarjeta credito,257.33,4,0.087,939.77,844.04,95.73,4.5,3,False
V107549,2023-01-12,Arequipa,Sur,Web,Tecnologia,Laptop Pro 14,Recurrente,Tarjeta debito,519.79,1,0.019,509.91,426.23,83.68,4.0,3,False
V108430,2023-01-13,Chiclayo,Norte,Tienda fisica,Electrodomesticos,Refrigeradora 400L,Nuevo,Tarjeta credito,590.88,1,0.033,571.38,460.89,110.49,3.5,0,False
V108541,2023-01-13,Lima,Costa,Web,Moda,Vestido Casual,Recurrente,Tarjeta credito,67.17,5,0.069,312.68,184.72,127.96,3.5,7,False
V100051,2023-01-13,Tacna,Sur,Tienda fisica,Tecnologia,Smartphone X,Recurrente,Billetera digital,377.01,1,0.041,361.55,309.15,52.4,3.0,0,False
V110333,2023-01-13,Arequipa,Sur,Web,Moda,Jean Slim,Recurrente,Tarjeta debito,28.71,4,0.0,114.84,63.16,51.68,4.0,2,False
V101100,2023-01-13,Trujillo,Norte,App movil,Tecnologia,"Monitor 27""",Nuevo,Efectivo,499.86,1,0.073,463.37,409.89,53.48,3.5,3,False
V102921,2023-01-13,Trujillo,Norte,Tienda fisica,Hogar,Lampara LED,Recurrente,Tarjeta credito,149.97,2,0.0,299.94,200.96,98.98,4.5,0,False
V105030,2023-01-13,Lima,Costa,Tienda fisica,Hogar,Set de Ollas,Recurrente,Tarjeta debito,183.88,4,0.044,703.16,492.8,210.36,4.0,0,False
V110140,2023-01-13,Lima,Costa,App movil,Moda,Vestido Casual,VIP,Billetera digital,58.5,2,0.148,99.68,64.35,35.33,3.0,4,False
V106743,2023-01-14,Lima,Costa,App movil,Belleza,Kit Skincare,Nuevo,Tarjeta debito,73.24,1,0.086,66.94,36.62,30.32,4.5,1,False
V110146,2023-01-14,Piura,Norte,App movil,Deportes,Balon Pro,Recurrente,Billetera digital,275.72,4,0.036,1063.18,772.02,291.16,4.0,2,False
V108740,2023-01-14,Lima,Costa,Marketplace,Moda,Vestido Casual,VIP,Billetera digital,125.39,2,0.078,231.22,137.93,93.29,5.0,3,True
V102383,2023-01-14,Iquitos,Oriente,Tienda fisica,Tecnologia,Audifonos ANC,VIP,Tarjeta debito,605.34,1,0.0,605.34,496.38,108.96,4.0,0,False
V111785,2023-01-14,Iquitos,Oriente,Web,Hogar,Lampara LED,Recurrente,Billetera digital,165.96,4,0.12,584.18,444.77,139.41,3.5,1,False
V109719,2023-01-14,Lima,Costa,Tienda fisica,Moda,Polo Basico,Recurrente,Tarjeta credito,19.65,3,0.053,55.83,32.42,23.41,3.5,0,False
V108293,2023-01-14,Lima,Costa,Tienda fisica,Tecnologia,Smartphone X,Nuevo,Tarjeta debito,467.9,1,0.045,446.84,383.68,63.16,4.5,0,False
V100765,2023-01-15,Lima,Costa,Web,Tecnologia,"Monitor 27""",Nuevo,Billetera digital,270.89,2,0.066,506.02,444.26,61.76,5.0,8,False
V104965,2023-01-15,Huancayo,Centro,Tienda fisica,Hogar,Organizador Modular,Nuevo,Tarjeta credito,165.08,2,0.0,330.16,221.21,108.95,3.0,0,False
V105921,2023-01-15,Piura,Norte,Web,Belleza,Serum Facial,Recurrente,Efectivo,34.35,5,0.051,162.99,85.88,77.11,3.0,4,False
V108076,2023-01-15,Piura,Norte,App movil,Electrodomesticos,Microondas 30L,Nuevo,Efectivo,574.28,1,0.024,560.5,447.94,112.56,4.0,3,False
V107574,2023-01-15,Lima,Costa,Web,Deportes,Bicicleta MTB,Nuevo,Tarjeta debito,119.9,4,0.001,479.12,335.72,143.4,5.0,7,False
V110210,2023-01-15,Lima,Costa,Web,Electrodomesticos,Lavadora 12kg,Recurrente,Tarjeta debito,495.92,1,0.001,495.42,386.82,108.6,4.5,7,False
V109004,2023-01-15,Tacna,Sur,Tienda fisica,Hogar,Organizador Modular,Recurrente,Tarjeta debito,64.07,2,0.071,119.04,85.85,33.19,4.5,0,False
V111166,2023-01-15,Cusco,Sur,Tienda fisica,Moda,Casaca Denim,Recurrente,Tarjeta debito,90.1,1,0.015,88.75,49.56,39.19,5.0,0,True
V109835,2023-01-15,Arequipa,Sur,Marketplace,Moda,Casaca Denim,VIP,Tarjeta credito,71.92,1,0.155,60.77,39.56,21.21,4.5,3,True
V105593,2023-01-16,Huancayo,Centro,Tienda fisica,Moda,Zapatillas Urbanas,Nuevo,Tarjeta credito,167.42,2,0.0,334.84,184.16,150.68,4.0,0,False
V107434,2023-01-16,Arequipa,Sur,Tienda fisica,Deportes,Mancuernas 10kg,Nuevo,Tarjeta credito,353.48,1,0.069,329.09,247.44,81.65,2.0,0,False
V106609,2023-01-17,Lima,Costa,Tienda fisica,Belleza,Kit Skincare,Recurrente,Tarjeta credito,47.67,1,0.005,47.43,23.84,23.59,4.0,0,False
V110114,2023-01-17,Iquitos,Oriente,Tienda fisica,Hogar,Juego de Sabanas,Nuevo,Efectivo,130.02,5,0.04,624.1,435.57,188.53,3.5,0,False
V109616,2023-01-17,Lima,Costa,Marketplace,Tecnologia,Smartphone X,Nuevo,Billetera digital,234.86,5,0.101,1055.7,962.93,92.77,3.5,3,False
V103376,2023-01-17,Arequipa,Sur,Tienda fisica,Belleza,Secadora de Cabello,Nuevo,Tarjeta credito,102.13,2,0.0,204.26,102.13,102.13,5.0,0,False
V105624,2023-01-17,Lima,Costa,Tienda fisica,Belleza,Kit Skincare,Nuevo,Tarjeta credito,101.9,5,0.029,494.72,254.75,239.97,4.0,0,False
V109965,2023-01-17,Huancayo,Centro,Tienda fisica,Tecnologia,Tablet Air,Nuevo,Tarjeta credito,457.35,1,0.09,416.19,375.03,41.16,5.0,0,False
V107099,2023-01-17,Chiclayo,Norte,Tienda fisica,Electrodomesticos,Refrigeradora 400L,Nuevo,Efectivo,531.98,1,0.142,456.44,414.94,41.5,5.0,0,False
V106012,2023-01-17,Cusco,Sur,Web,Moda,Vestido Casual,Recurrente,Tarjeta credito,91.89,2,0.072,170.55,101.08,69.47,4.0,4,False
V109892,2023-01-17,Piura,Norte,Web,Moda,Jean Slim,Nuevo,Tarjeta credito,94.98,3,0.004,283.8,156.72,127.08,3.5,5,False
V104837,2023-01-18,Lima,Costa,App movil,Moda,Zapatillas Urbanas,Recurrente,Tarjeta credito,54.24,4,0.048,206.55,119.33,87.22,4.5,3,False
V110126,2023-01-18,Piura,Norte,Web,Tecnologia,Audifonos ANC,Recurrente,Tarjeta credito,299.59,2,0.115,530.27,491.33,38.94,4.0,6,False
V102939,2023-01-18,Piura,Norte,App movil,Tecnologia,Audifonos ANC,Recurrente,Billetera digital,257.46,3,0.093,700.55,633.35,67.2,4.0,2,False
V100534,2023-01-18,Chiclayo,Norte,Web,Electrodomesticos,Microondas 30L,Nuevo,Tarjeta debito,233.81,2,0.028,454.53,364.74,89.79,3.5,2,False
V111308,2023-01-18,Lima,Costa,Tienda fisica,Belleza,Serum Facial,Nuevo,Tarjeta credito,72.93,5,0.122,320.16,182.32,137.84,5.0,0,False
V102393,2023-01-18,Trujillo,Norte,Tienda fisica,Deportes,Colchoneta Yoga,Nuevo,Efectivo,206.63,1,0.066,192.99,144.64,48.35,5.0,0,False
V101910,2023-01-18,Cusco,Sur,Marketplace,Hogar,Juego de Sabanas,Recurrente,Tarjeta credito,241.28,4,0.002,963.19,646.63,316.56,4.0,1,False
V108692,2023-01-19,Lima,Costa,Tienda fisica,Electrodomesticos,Microondas 30L,Recurrente,Tarjeta credito,133.21,1,0.096,120.42,103.9,16.52,3.5,0,True
V111889,2023-01-19,Lima,Costa,Web,Tecnologia,Audifonos ANC,Nuevo,Billetera digital,122.63,5,0.0,613.15,502.78,110.37,3.5,8,False
V107061,2023-01-20,Lima,Costa,App movil,Deportes,Bicicleta MTB,VIP,Tarjeta credito,148.37,5,0.03,719.59,519.29,200.3,4.0,5,False
V109981,2023-01-20,Lima,Costa,Web,Moda,Polo Basico,Nuevo,Billetera digital,111.75,3,0.068,312.45,184.39,128.06,3.5,2,False
V102718,2023-01-20,Huancayo,Centro,Tienda fisica,Tecnologia,Laptop Pro 14,Nuevo,Tarjeta debito,165.65,2,0.0,331.3,271.67,59.63,4.5,0,False
V106495,2023-01-20,Arequipa,Sur,Web,Hogar,Organizador Modular,Nuevo,Tarjeta debito,317.05,1,0.134,274.57,212.42,62.15,5.0,2,False
V101951,2023-01-20,Huancayo,Centro,Web,Deportes,Colchoneta Yoga,Nuevo,Efectivo,203.31,2,0.0,406.62,284.63,121.99,4.0,2,True
V104304,2023-01-20,Trujillo,Norte,App movil,Deportes,Colchoneta Yoga,Nuevo,Tarjeta credito,223.44,3,0.041,642.84,469.22,173.62,5.0,8,True
V111768,2023-01-20,Lima,Costa,Web,Moda,Vestido Casual,Recurrente,Tarjeta credito,106.26,1,0.033,102.75,58.44,44.31,5.0,8,False
V105304,2023-01-20,Lima,Costa,Tienda fisica,Deportes,Balon Pro,VIP,Tarjeta debito,302.92,5,0.096,1369.2,1060.22,308.98,4.5,0,False
V100394,2023-01-20,Arequipa,Sur,Tienda fisica,Tecnologia,Laptop Pro 14,Nuevo,Efectivo,350.56,5,0.159,1474.1,1437.3,36.8,5.0,0,True
V102957,2023-01-20,Trujillo,Norte,App movil,Electrodomesticos,Aspiradora Robot,Recurrente,Tarjeta credito,832.04,1,0.034,803.75,648.99,154.76,3.0,5,False
V102538,2023-01-21,Trujillo,Norte,Web,Belleza,Serum Facial,VIP,Tarjeta credito,53.33,2,0.062,100.05,53.33,46.72,3.5,5,False
V106624,2023-01-21,Huancayo,Centro,Web,Moda,Vestido Casual,Recurrente,Tarjeta credito,82.95,3,0.061,233.67,136.87,96.8,3.5,1,False
V100840,2023-01-21,Arequipa,Sur,Tienda fisica,Moda,Zapatillas Urbanas,Recurrente,Tarjeta credito,150.68,1,0.0,150.68,82.87,67.81,3.5,0,False
V103320,2023-01-21,Cusco,Sur,Tienda fisica,Hogar,Lampara LED,Recurrente,Billetera digital,27.6,1,0.07,25.67,18.49,7.18,3.5,0,False
V103217,2023-01-21,Piura,Norte,Web,Hogar,Lampara LED,Recurrente,Tarjeta credito,103.67,5,0.0,518.35,347.29,171.06,5.0,3,False
V106072,2023-01-21,Lima,Costa,Marketplace,Moda,Polo Basico,Recurrente,Efectivo,77.98,3,0.057,220.61,128.67,91.94,3.0,4,False
V109389,2023-01-21,Iquitos,Oriente,Web,Tecnologia,Audifonos ANC,Recurrente,Tarjeta debito,608.21,1,0.034,587.53,498.73,88.8,5.0,3,False
V106897,2023-01-22,Lima,Costa,Tienda fisica,Deportes,Balon Pro,Recurrente,Tarjeta debito,117.63,1,0.009,116.57,82.34,34.23,4.0,0,False
V109304,2023-01-22,Lima,Costa,Marketplace,Moda,Vestido Casual,VIP,Efectivo,123.81,1,0.067,115.51,68.1,47.41,5.0,6,False
V102022,2023-01-22,Lima,Costa,Web,Hogar,Juego de Sabanas,Recurrente,Tarjeta debito,48.59,3,0.003,145.33,97.67,47.66,5.0,2,False
V107405,2023-01-22,Lima,Costa,Tienda fisica,Deportes,Bicicleta MTB,Recurrente,Tarjeta credito,231.91,4,0.0,927.64,649.35,278.29,3.0,0,False
V110056,2023-01-22,Arequipa,Sur,Tienda fisica,Belleza,Secadora de Cabello,Nuevo,Efectivo,80.15,2,0.0,160.3,80.15,80.15,3.0,0,False
V102114,2023-01-23,Lima,Costa,Tienda fisica,Moda,Casaca Denim,Nuevo,Billetera digital,76.97,1,0.046,73.43,42.33,31.1,4.5,0,False
V107973,2023-01-23,Lima,Costa,Tienda fisica,Hogar,Lampara LED,Nuevo,Tarjeta credito,153.74,2,0.04,295.18,206.01,89.17,5.0,0,False
V105960,2023-01-23,Lima,Costa,Web,Moda,Vestido Casual,Nuevo,Tarjeta debito,59.87,4,0.019,234.93,131.71,103.22,3.5,5,False
